ID,# of Calls / Emails
68542,39.4435
68543,3.80524
68544,3.80524
68545,3.80524
68546,3.80524
68547,3.80524
68548,3.80524
68549,3.80524
68550,3.80524
68551,3.80524
68552,4.16284
68553,3.80524
68554,3.80524
68555,3.80524
68556,3.80524
68557,3.80524
68558,3.80524
68559,3.80524
68560,3.80524
68561,10.2421
68562,10.2421
68563,10.2421
68564,10.2421
68565,10.2421
68566,5.95087
68567,602.028
68568,542.298
68569,387.082
68570,120.904
68571,40.874
68572,78.2763
68573,114.467
68574,156.015
68575,80.1622
68576,566.143
68577,506.414
68578,6.66608
68579,41.5892
68580,78.9915
68581,149.578
68582,188.779
68583,80.0643
68584,116.255
68585,150.651
68586,182.7
68587,232.405
68588,92.9347
68589,151.366
68590,183.415
68591,225.969
68592,257.141
68593,248.284
68594,226.684
68595,250.704
68596,277.933
68597,367.674
68598,227.399
68599,251.419
68600,271.496
68601,294.456
68602,228.114
68603,252.134
68604,272.212
68605,288.019
68606,306.447
68607,17.3942
68608,52.3174
68609,301.233
68610,299.803
68611,10.5997
68612,252.849
68613,313.718
68614,102.282
68615,253.565
68616,273.642
68617,307.281
68618,316.155
68619,274.357
68620,290.164
68621,301.441
68622,307.997
68623,313.718
68624,180.652
68625,238.951
68626,110.503
68627,302.156
68628,308.712
68629,307.281
68630,306.447
68631,8.81171
68632,8.0965
68633,302.871
68634,309.427
68635,311.148
68636,307.997
68637,300.01
68638,294.456
68639,8.0965
68640,6.66608
68641,301.441
68642,288.734
68643,257.141
68644,8.45411
68645,289.807
68646,251.061
68647,218.679
68648,212.242
68649,188.779
68650,156.015
68651,183.058
68652,149.578
68653,120.904
68654,150.294
68655,114.467
68656,83.998
68657,184.488
68658,115.182
68659,77.5611
68660,45.8804
68661,151.724
68662,115.897
68663,78.2763
68664,10.2421
68665,116.612
68666,78.9915
68667,10.2421
68668,79.7067
68669,40.8739
68670,4.52045
68671,10.2421
68672,6.66608
68673,41.5891
68674,5.23566
68675,10.2421
68676,5.95087
68677,5.23566
68678,10.2421
68679,5.95087
68680,5.23566
68681,4.52045
68682,10.2421
68683,5.59326
68684,4.16284
68685,10.2421
68686,3.80524
68687,10.2421
68688,4.52045
68689,10.2421
68690,10.2421
68691,10.2421
68692,3.80524
68693,10.2421
68694,14.891
68695,15.6062
68696,335.532
68697,19.1823
68698,15.6062
68699,336.247
68700,337.32
68701,316.627
68702,317.342
68703,278.597
68704,208.448
68705,174.968
68706,175.684
68707,139.857
68708,102.951
68709,65.5487
68710,29.1952
68711,29.9104
68712,29.1952
68713,28.48
68714,27.7648
68715,25.2616
68716,23.1159
68717,78.8194
68718,74.8857
68719,26.3344
68720,260.876
68721,125.803
68722,79.5346
68723,344.472
68724,3.80524
68725,3.80524
68726,3.80524
68727,3.80524
68728,3.80524
68729,39.4435
68730,39.4435
68731,77.5611
68732,77.5611
68733,114.467
68734,114.467
68735,149.578
68736,149.578
68737,182.342
68738,182.7
68739,225.969
68740,225.969
68741,250.704
68742,250.704
68743,271.496
68744,271.496
68745,288.019
68746,288.019
68747,300.01
68748,300.01
68749,307.281
68750,307.281
68751,309.718
68752,309.718
68753,307.281
68754,307.281
68755,307.997
68756,300.01
68757,300.01
68758,288.019
68759,288.734
68760,250.704
68761,251.061
68762,212.242
68763,212.242
68764,182.343
68765,182.343
68766,149.578
68767,149.578
68768,114.467
68769,114.467
68770,77.5611
68771,77.5611
68772,39.4435
68773,3.80524
68774,3.80524
68775,4.52045
68776,3.80524
68777,3.80524
68778,3.80524
68779,3.80524
68780,3.80524
68781,3.80524
68782,3.80524
68783,4.87805
68784,3.80524
68785,4.16284
68786,3.80524
68787,3.80524
68788,3.80524
68789,3.80524
68790,3.80524
68791,3.80524
68792,10.2421
68793,10.2421
68794,10.2421
68795,10.2421
68796,10.2421
68797,3.80524
68798,127.323
68799,553.575
68800,83.998
68801,116.047
68802,195.393
68803,5.95087
68804,5.23566
68805,77.5611
68806,279.006
68807,586.221
68808,526.491
68809,371.275
68810,179.585
68811,24.3687
68812,5.95087
68813,78.2763
68814,114.467
68815,156.015
68816,41.5892
68817,78.9915
68818,115.182
68819,149.578
68820,188.779
68821,150.651
68822,182.7
68823,232.405
68824,257.141
68825,184.13
68826,226.684
68827,250.704
68828,277.933
68829,251.419
68830,271.496
68831,294.456
68832,288.019
68833,306.447
68834,252.849
68835,272.927
68836,300.01
68837,313.718
68838,273.642
68839,289.449
68840,300.725
68841,307.281
68842,316.155
68843,290.164
68844,309.718
68845,313.718
68846,13.4606
68847,12.7454
68848,110.503
68849,6.66608
68850,302.156
68851,308.712
68852,306.447
68853,13.4606
68854,12.0302
68855,144.462
68856,202.761
68857,74.3127
68858,8.81171
68859,8.0965
68860,7.38129
68861,311.148
68862,307.997
68863,300.01
68864,294.456
68865,8.81171
68866,8.0965
68867,7.38129
68868,6.66608
68869,288.734
68870,257.141
68871,22.7583
68872,10.5997
68873,7.02369
68874,218.679
68875,47.8244
68876,188.779
68877,11.315
68878,27.7468
68879,182.343
68880,156.015
68881,10.5997
68882,9.88453
68883,9.16932
68884,11.9397
68885,11.2245
68886,120.904
68887,214.388
68888,183.773
68889,114.467
68890,83.998
68891,77.5611
68892,45.8804
68893,8.45411
68894,78.2763
68895,39.4435
68896,10.2421
68897,78.9915
68898,40.1587
68899,3.80524
68900,10.2421
68901,40.8739
68902,3.80524
68903,10.2421
68904,3.80524
68905,10.2421
68906,10.2421
68907,3.80524
68908,10.2421
68909,10.2421
68910,10.2421
68911,10.2421
68912,10.2421
68913,58.039
68914,22.4007
68915,22.4007
68916,18.1094
68917,199.643
68918,121.367
68919,73.4553
68920,72.0249
68921,71.3097
68922,280.027
68923,19.5399
68924,28.48
68925,29.9104
68926,30.6256
68927,27.4072
68928,26.692
68929,317.342
68930,279.312
68931,24.1887
68932,240.493
68933,209.878
68934,140.572
68935,141.287
68936,103.666
68937,64.8335
68938,65.5487
68939,28.48
68940,24.5463
68941,171.035
68942,140.572
68943,72.3825
68944,3.80524
68945,3.80524
68946,3.80524
68947,3.80524
68948,3.80524
68949,39.4435
68950,39.4435
68951,40.1588
68952,77.5611
68953,114.467
68954,149.578
68955,182.342
68956,182.7
68957,225.969
68958,250.704
68959,250.704
68960,271.496
68961,271.496
68962,288.019
68963,288.019
68964,300.01
68965,300.01
68966,300.725
68967,307.281
68968,307.281
68969,309.718
68970,309.718
68971,310.433
68972,307.281
68973,307.281
68974,307.997
68975,300.01
68976,300.01
68977,288.019
68978,288.734
68979,250.704
68980,251.061
68981,212.242
68982,212.242
